Name of Clinic,Address,Email,Phone,Services
Anytime Physio & Podiatry Newstead,Shop B6 / 76 Skyring Terrace Gasworks Plaza Newstead QLD 4006,info@anytimephysio.com.au,07 3733 0944,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare
My FootDr Brisbane CBD,Ground Level 324 Queen Street Brisbane QLD 4000,brisbanecbd@myfootdr.com.au,07 3634 5800,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Footwear; Cryotherapy For Plantar Warts; Resources
My FootDr Brookside,"Brookside Shopping Centre Shop 118, 159 Osborne Rd Mitchelton QLD 4053",brookside@myfootdr.com.au,07 3355 1256,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources
My FootDr Brookwater,17 / L1 Brookwater Retail Village 2 Tournament Drive Brookwater QLD 4300,brookwater@myfootdr.com.au,07 3432 8500,Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Camp Hill,50 Wyena Street (Cnr Clara & Wyena St) Camp Hill QLD 4152,camphill@myfootdr.com.au,07 3035 3900,Supramalleolar Orthotics (SMOs); Fungal Nail Diafactory Testing; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Custom Cricket Shoes; Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Cobra9 Cycling Orthotics; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; SWIFT Microwave Wart Therapy; Resources; Ankle-Foot Orthoses
My FootDr Cleveland,"Suite 5 & 6, Trinity Chambers Cnr Waterloo & Middle Streets Cleveland QLD 4163",cleveland@myfootdr.com.au,07 3479 9200,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Cryotherapy For Plantar Warts; Resources
My FootDr Fortitude Valley,2/455A Brunswick Street Fortitude Valley QLD 4006,fortitudevalley@myfootdr.com.au,07 3640 6100,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Gumdale,"Eastside Village Shopping Centre Shop 20, Cnr New Cleveland & Tilley Roads Gumdale QLD 4154",gumdale@myfootdr.com.au,07 3917 2700,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Indooroopilly,56B Coonan Street Indooroopilly QLD 4068,indooroopilly@myfootdr.com.au,07 3720 6200,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Resources
My FootDr Ipswich,Physioactive 57 Thorn Street Ipswich QLD 4305,ipswich@myfootdr.com.au,07 3281 8876,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Jindalee,"Allsports Physiotherapy, Shop 28 34 Goggs Road Jindalee QLD 4074",jindalee@myfootdr.com.au,07 3279 3752,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Mt Gravatt,Level 2 / 1437 Logan Road (enter off Gowrie St) Mount Gravatt QLD 4122,mtgravatt@myfootdr.com.au,07 3849 4714,Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources; Ankle-Foot Orthoses
North Lakes,"North Lakes Specialist Medical Centre Unit 204, 6 North Lakes Drive North Lakes QLD 4509",northlakes@myfootdr.com.au,07 3815 6490,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Red Hill,Arthur House 47 Arthur Tce Red Hill QLD 4059,redhill@myfootdr.com.au,07 3367 0085,
My FootDr Redcliffe,Dolphins Central Shopping Centre 10/110 Ashmole Rd Redcliffe QLD 4020,redcliffe@myfootdr.com.au,07 3385 8100,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Shailer Park,6/44 Bryants Road Shailer Park QLD 4128,shailerpark@myfootdr.com.au,07 3441 2100,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Cryotherapy For Plantar Warts; Resources
Stafford,Shop 93A Stafford City Shopping Centre 400 Stafford Rd Stafford QLD 4053,stafford@myfootdr.com.au,07 3513 4000,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Toowoomba,"Shop 52, Clifford Gardens Shopping Centre Corner James St & Anzac Ave Toowoomba City QLD 4350",toowoomba@myfootdr.com.au,07 4633 2533,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
Wellington Point,8/405-409 Main Rd Wellington Point QLD 4160,wellingtonpoint@myfootdr.com.au,07 3207 2100,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Allsports Podiatry Parkwood,Shop 13/122 Napper Rd Parkwood QLD 4214,parkwood@allsportspodiatry.com.au,07 5561 1810,
Allsports Podiatry Pimpama,2 Nexus Drive Tenancy D1.4 Pimpama QLD 4209,Pimpama@allsportspodiatry.com.au,07 3879 7718,
Back In Motion Podiatry Bundall,"1 Allawah St (cnr Bundall Rd) Bundall, Gold Coast QLD 4217",bundall.podiatry@backinmotion.com.au,07 5592 4141,Surgical Podiatry; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Custom Foot Orthotics; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); Seniors Footcare; Shockwave Therapy; Ankle-Foot Orthoses
Back In Motion Podiatry Burleigh Waters,"Shop E, 1/6-8 Classic Way Burleigh Waters QLD 4220",burleighwaters.podiatry@backinmotion.com.au,07 5613 3115,Surgical Podiatry; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Custom Foot Orthotics; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); Seniors Footcare; Shockwave Therapy; Ankle-Foot Orthoses
My FootDr Hope Island,"Shop 5, 10 Santa Barbara Road Hope Island QLD 4212",hopeisland@myfootdr.com.au,07 5656 2400,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Cryotherapy For Plantar Warts; Resources
Physiologic Podiatry Robina,334 Scottsdale Drive Robina QLD 4226,robina@physiologic.com.au,07 5578 7155,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Varsity Lakes,Shop 1 190 Varsity Parade Varsity Lakes QLD 4227,varsitylakes@myfootdr.com.au,07 5562 5055,Surgical Podiatry; Clinical Podiatry; Custom Foot Orthotics; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy
My FootDr Cairns,"Shop 2, 494 Mulgrave Road Earlville QLD 4870",cairns@myfootdr.com.au,07 4033 2218,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Resources
NQ Foot & Ankle Centre Cowboys Centre of Excellence,North Queensland Cowboys Centre of Excellence 26 Graham Murray Place Railway Estate QLD 4810,kirwan@nqfootandankle.com.au,07 4723 5500,Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Shockwave Therapy
NQ Foot & Ankle Centre Kirwan,NQ Foot & Ankle Centre 93 Thuringowa Drive Kirwan QLD 4817,kirwan@nqfootandankle.com.au,07 4723 5500,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Thuringowa,"Shop 129, Willows Shopping Centre Cnr Thuringowa Dr & Hervey Range Rd Thuringowa Central QLD 4817",willows@myfootdr.com.au,07 4723 1503,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Cryotherapy For Plantar Warts; Resources
My FootDr Townsville,140 Ross River Road Mundingburra QLD 4812,townsville@myfootdr.com.au,07 4725 3755,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
Advanced Foot Care Bargara,8/699 Bargara Road Bargara QLD 4670,bundaberg@myfootdr.com.au,07 4153 3255,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
Advanced Foot Care Bundaberg,10/36 Quay St Bundaberg Central QLD 4670,bundaberg@myfootdr.com.au,07 4153 3255,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources
Advanced Foot Care Hervey Bay,1/6 Torquay Rd Pialba QLD 4655,hervey.bay@myfootdr.com.au,07 4128 2300,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources
Advanced Foot Care Monto,35 Flinders Street Monto QLD 4630,info@advancedfootcare.com.au,07 4128 2300,
My FootDr Gladstone,1/146 Auckland St Gladstone Central QLD 4680,gladstone@myfootdr.com.au,07 4972 9663,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cryotherapy For Plantar Warts; Resources
My FootDr Mackay,153 Victoria St Mackay QLD 4740,mackay@myfootdr.com.au,07 4951 0111,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Rockhampton,8/235-239 Musgrave St North Rockhampton QLD 4701,rockhampton@myfootdr.com.au,07 4921 3532,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Cryotherapy For Plantar Warts; Resources
My FootDr Yeppoon,61 Queen St Yeppoon QLD 4703,yeppoon@myfootdr.com.au,07 4939 8577,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Bathurst,41 Keppel St Bathurst NSW 2795,bathurst@myfootdr.com.au,02 6331 1122,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Blacktown,Suite 113/30 Campbell Street Blacktown NSW 2148,blacktown@myfootdr.com.au,02 9622 5707,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Burwood,6 Railway Parade Burwood NSW 2134,burwood@myfootdr.com.au,02 9744 6566,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Casula,6 Holston Street Casula NSW 2170,casula@myfootdr.com.au,02 9822 2622,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Cessnock,298 Maitland Rd Cessnock NSW 2325,cessnock@myfootdr.com.au,02 4990 4540,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS)
My FootDr Charlestown,190 Pacific Highway Charlestown NSW 2290,charlestown@myfootdr.com.au,02 4966 0799,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Shockwave Therapy; Footwear
My FootDr Dubbo,"Shop 18, Orana Mall Shopping Centre 56 Windsor Parade Dubbo NSW 2830",dubbo@myfootdr.com.au,02 6867 9410,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Mittagong,48 Bowral Road Mittagong NSW 2575,mittagong@myfootdr.com.au,02 4872 4168,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Moorebank,2 Stockton Avenue Moorebank NSW 2170,moorebank@myfootdr.com.au,02 9822 2780,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Narellan,"Suite 407, 326 Camden Valley Way Narellan NSW 2567",narellan@myfootdr.com.au,02 4647 0703,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Orange,"Shop V5-7, Orange City Centre 190 Anson St Orange NSW 2800",orange@myfootdr.com.au,02 5301 6549,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Cryotherapy For Plantar Warts; Resources
Tweed Heads,1/107 Minjungbal Drive Tweed Heads South NSW 2485,tweedheads@myfootdr.com.au,07 5524 8440,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Resources; Ankle-Foot Orthoses
Allsports Podiatry Noosa,"Unit 4, 17 Sunshine Beach Rd Noosa QLD 4567",noosa@allsportspodiatry.com.au,07 5447 3312,
My FootDr Beerwah,58 Simpson Street Beerwah QLD 4519,beerwah@myfootdr.com.au,07 5494 0060,Surgical Podiatry; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Seniors Footcare; Resources
Back In Motion Podiatry Bacchus Marsh,118 Gisborne Rd Bacchus Marsh VIC 3340,bacchusmarsh@backinmotion.com.au,03 5367 4130,Bracenfixâ„˘ - Ingrown Toenail Treatment; SWIFT Microwave Wart Therapy
Back In Motion Podiatry Bayswater,Shop 9a 348 Mountain Hwy Wantirna VIC 3152,bayswater.podiatry@backinmotion.com.au,03 9720 7676,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Seniors Footcare; Cosmetic Nail Restoration; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts
Back In Motion Podiatry Melton,386/388 High St Melton VIC 3337,melton@backinmotion.com.au,03 9743 4479,Bracenfixâ„˘ - Ingrown Toenail Treatment; SWIFT Microwave Wart Therapy
Ballarat,34 Armstrong St N Ballarat Central VIC 3350,ballarat@myfootdr.com.au,03 5331 2777,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
Border Podiatry Wodonga,5/91 Hume St Wodonga VIC 3690,wodonga@myfootdr.com.au,02 6024 5577,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Boronia,12 Floriston Rd Boronia VIC 3155,boronia@myfootdr.com.au,03 9762 9404,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Cranbourne,26 William St Cranbourne VIC 3977,cranbourne@myfootdr.com.au,03 5996 3633,Clinical Podiatry; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS)
My FootDr Pakenham,54 James St Pakenham VIC 3810,pakenham@myfootdr.com.au,03 5941 7899,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Moe,11 Haigh Street Moe VIC 3825,moe@thefootandankleclinic.com.au,03 5127 8555,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Podiatry Chadstone,79 Chadstone Road Malvern East VIC 3145,chadstone@thefootandankleclinic.com.au,03 9569 5796,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Podiatry East Bentleigh,951 Centre Road East Bentleigh VIC 3165,eastbentleigh@thefootandankleclinic.com.au,03 9570 3213,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Sale,195 Raymond Street Sale VIC 3850,sale@thefootandankleclinic.com.au,03 5144 7655,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Traralgon,39 Grey Street Traralgon VIC 3844,traralgon@thefootandankleclinic.com.au,03 5174 2615,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; SWIFT Microwave Wart Therapy; Resources
My FootDr Wantirna,Shop 9a 348 Mountain Hwy Wantirna VIC 3152,bayswater.podiatry@backinmotion.com.au,03 9720 7676,Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cam Walker - (Moon Boot); Cryotherapy For Plantar Warts; Resources; Ankle-Foot Orthoses; Richie Brace
